# STATION: LBNL1
# STATION NAME: Berkeley Lab
# LATITUDE: 37.8771
# LONGITUDE: -122.2486
# ELEVATION [ft]: 888.0
# STATE: CA
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,air_temp_set_2,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_fifteen_minute_set_1,volt_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,Celsius,%,m/s,Degrees,m/s,W/m**2,Millimeters,volts,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
LBNL1,11/03/2016 00:00 UTC,98872.0,18.39,18.26,57.24,2.05,11.96,4.54,196.5,0.0,13.04,,NNE,,9.73,102108.14,102048.2,
LBNL1,11/03/2016 00:15 UTC,98885.0,18.2,18.06,58.72,2.2,15.5,3.96,155.0,0.0,13.04,,NNE,,9.93,102121.57,102063.71,
LBNL1,11/03/2016 00:30 UTC,98887.0,17.68,17.56,60.96,2.71,19.84,4.74,113.9,0.0,13.04,,NNE,,10.01,102123.64,102071.53,
LBNL1,11/03/2016 00:45 UTC,98890.0,17.09,17.01,63.01,3.21,28.92,5.08,63.51,0.0,13.06,,NNE,,9.94,102126.73,102081.19,
LBNL1,11/03/2016 01:00 UTC,98894.0,16.54,16.51,64.62,3.54,28.51,4.95,24.61,0.0,13.07,,NNE,,9.8,102130.86,102091.46,
LBNL1,11/03/2016 01:15 UTC,98908.0,15.92,15.97,66.84,3.49,25.71,4.61,6.4,0.0,13.09,,NNE,,9.72,102145.32,102112.86,
LBNL1,11/03/2016 01:30 UTC,98896.0,15.73,15.9,66.46,3.53,32.38,4.78,0.97,0.0,13.12,,NNE,,9.45,102132.93,102102.61,
LBNL1,11/03/2016 01:45 UTC,98928.0,15.79,15.99,65.08,3.62,32.61,4.47,0.1,0.0,13.14,,NNE,,9.19,102165.98,102134.97,
LBNL1,11/03/2016 02:00 UTC,98948.0,15.65,15.86,64.89,3.79,40.5,4.71,0.04,0.0,13.15,,NE,,9.01,102186.63,102157.2,
LBNL1,11/03/2016 02:15 UTC,98921.0,15.51,15.72,65.26,3.29,45.91,5.05,0.04,0.0,13.16,,NE,,8.97,102158.75,102130.9,
LBNL1,11/03/2016 02:30 UTC,98921.0,15.61,15.78,64.28,3.14,54.29,5.22,0.06,0.0,13.17,,NE,,8.84,102158.75,102129.78,
LBNL1,11/03/2016 02:45 UTC,98935.0,15.75,15.92,63.19,3.63,52.25,6.11,0.05,0.0,13.17,,NE,,8.71,102173.21,102142.66,
LBNL1,11/03/2016 03:00 UTC,98948.0,15.74,15.95,62.38,3.05,55.82,5.83,0.05,0.0,13.17,,NE,,8.51,102186.63,102156.19,
LBNL1,11/03/2016 03:15 UTC,98921.0,15.74,15.93,61.45,3.29,54.93,6.14,0.04,0.0,13.18,,NE,,8.29,102158.75,102128.32,
LBNL1,11/03/2016 03:30 UTC,98921.0,15.71,15.93,60.53,3.28,59.94,6.04,0.04,0.0,13.18,,ENE,,8.04,102158.75,102128.66,
LBNL1,11/03/2016 03:45 UTC,98921.0,15.59,15.83,59.92,3.2,67.13,6.75,0.06,0.0,13.18,,ENE,,7.77,102158.75,102130.01,
LBNL1,11/03/2016 04:00 UTC,98935.0,15.37,15.6,62.76,3.19,69.08,6.65,0.08,0.0,13.18,,ENE,,8.25,102173.21,102146.94,
LBNL1,11/03/2016 04:15 UTC,98935.0,15.33,15.56,62.36,3.73,66.46,8.4,0.11,0.0,13.19,,ENE,,8.12,102173.21,102147.4,
LBNL1,11/03/2016 04:30 UTC,98948.0,15.29,15.49,62.13,3.02,67.18,6.65,0.08,0.0,13.19,,ENE,,8.03,102186.63,102161.27,
LBNL1,11/03/2016 04:45 UTC,98935.0,15.1,15.38,62.12,3.78,70.95,7.03,0.1,0.0,13.19,,ENE,,7.84,102173.21,102149.99,
LBNL1,11/03/2016 05:00 UTC,98908.0,15.13,15.39,60.72,4.0,65.85,7.75,0.09,0.0,13.19,,ENE,,7.54,102145.32,102121.78,
